,Date,interest,year,month
0,2004-01,19,2004,1
1,2004-02,12,2004,2
2,2004-03,14,2004,3
3,2004-04,22,2004,4
4,2004-05,24,2004,5
5,2004-06,13,2004,6
6,2004-07,10,2004,7
7,2004-08,21,2004,8
8,2004-09,18,2004,9
9,2004-10,16,2004,10
10,2004-11,11,2004,11
11,2004-12,24,2004,12
12,2005-01,18,2005,1
13,2005-02,18,2005,2
14,2005-03,22,2005,3
15,2005-04,40,2005,4
16,2005-05,27,2005,5
17,2005-06,16,2005,6
18,2005-07,24,2005,7
19,2005-08,22,2005,8
20,2005-09,12,2005,9
21,2005-10,15,2005,10
22,2005-11,11,2005,11
23,2005-12,15,2005,12
24,2006-01,11,2006,1
25,2006-02,10,2006,2
26,2006-03,7,2006,3
27,2006-04,10,2006,4
28,2006-05,14,2006,5
29,2006-06,14,2006,6
30,2006-07,7,2006,7
31,2006-08,10,2006,8
32,2006-09,16,2006,9
33,2006-10,12,2006,10
34,2006-11,10,2006,11
35,2006-12,12,2006,12
36,2007-01,10,2007,1
37,2007-02,10,2007,2
38,2007-03,12,2007,3
39,2007-04,8,2007,4
40,2007-05,13,2007,5
41,2007-06,16,2007,6
42,2007-07,18,2007,7
43,2007-08,13,2007,8
44,2007-09,13,2007,9
45,2007-10,10,2007,10
46,2007-11,15,2007,11
47,2007-12,14,2007,12
48,2008-01,16,2008,1
49,2008-02,17,2008,2
50,2008-03,14,2008,3
51,2008-04,21,2008,4
52,2008-05,32,2008,5
53,2008-06,93,2008,6
54,2008-07,37,2008,7
55,2008-08,30,2008,8
56,2008-09,22,2008,9
57,2008-10,23,2008,10
58,2008-11,35,2008,11
59,2008-12,24,2008,12
60,2009-01,26,2009,1
61,2009-02,25,2009,2
62,2009-03,20,2009,3
63,2009-04,22,2009,4
64,2009-05,23,2009,5
65,2009-06,26,2009,6
66,2009-07,26,2009,7
67,2009-08,22,2009,8
68,2009-09,19,2009,9
69,2009-10,32,2009,10
70,2009-11,32,2009,11
71,2009-12,27,2009,12
72,2010-01,27,2010,1
73,2010-02,27,2010,2
74,2010-03,24,2010,3
75,2010-04,24,2010,4
76,2010-05,27,2010,5
77,2010-06,31,2010,6
78,2010-07,29,2010,7
79,2010-08,24,2010,8
80,2010-09,21,2010,9
81,2010-10,23,2010,10
82,2010-11,29,2010,11
83,2010-12,27,2010,12
84,2011-01,32,2011,1
85,2011-02,27,2011,2
86,2011-03,26,2011,3
87,2011-04,31,2011,4
88,2011-05,62,2011,5
89,2011-06,73,2011,6
90,2011-07,48,2011,7
91,2011-08,35,2011,8
92,2011-09,37,2011,9
93,2011-10,33,2011,10
94,2011-11,27,2011,11
95,2011-12,37,2011,12
96,2012-01,31,2012,1
97,2012-02,27,2012,2
98,2012-03,26,2012,3
99,2012-04,25,2012,4
100,2012-05,24,2012,5
101,2012-06,23,2012,6
102,2012-07,29,2012,7
103,2012-08,25,2012,8
104,2012-09,25,2012,9
105,2012-10,22,2012,10
106,2012-11,27,2012,11
107,2012-12,29,2012,12
108,2013-01,27,2013,1
109,2013-02,21,2013,2
110,2013-03,24,2013,3
111,2013-04,22,2013,4
112,2013-05,23,2013,5
113,2013-06,27,2013,6
114,2013-07,28,2013,7
115,2013-08,29,2013,8
116,2013-09,24,2013,9
117,2013-10,22,2013,10
118,2013-11,27,2013,11
119,2013-12,30,2013,12
120,2014-01,29,2014,1
121,2014-02,25,2014,2
122,2014-03,25,2014,3
123,2014-04,25,2014,4
124,2014-05,22,2014,5
125,2014-06,25,2014,6
126,2014-07,30,2014,7
127,2014-08,25,2014,8
128,2014-09,20,2014,9
129,2014-10,20,2014,10
130,2014-11,23,2014,11
131,2014-12,24,2014,12
132,2015-01,23,2015,1
133,2015-02,20,2015,2
134,2015-03,24,2015,3
135,2015-04,22,2015,4
136,2015-05,24,2015,5
137,2015-06,26,2015,6
138,2015-07,28,2015,7
139,2015-08,27,2015,8
140,2015-09,22,2015,9
141,2015-10,20,2015,10
142,2015-11,26,2015,11
143,2015-12,29,2015,12
144,2016-01,57,2016,1
145,2016-02,100,2016,2
146,2016-03,55,2016,3
147,2016-04,37,2016,4
148,2016-05,34,2016,5
149,2016-06,28,2016,6
150,2016-07,28,2016,7
151,2016-08,19,2016,8
152,2016-09,16,2016,9
153,2016-10,17,2016,10
154,2016-11,20,2016,11
155,2016-12,22,2016,12
156,2017-01,22,2017,1
157,2017-02,25,2017,2
158,2017-03,22,2017,3
159,2017-04,23,2017,4
160,2017-05,18,2017,5
161,2017-06,19,2017,6
162,2017-07,18,2017,7
163,2017-08,18,2017,8
164,2017-09,18,2017,9
165,2017-10,16,2017,10
166,2017-11,18,2017,11
167,2017-12,18,2017,12
168,2018-01,19,2018,1
169,2018-02,15,2018,2
170,2018-03,17,2018,3
171,2018-04,18,2018,4
172,2018-05,17,2018,5
173,2018-06,17,2018,6
174,2018-07,18,2018,7
175,2018-08,18,2018,8
176,2018-09,16,2018,9
177,2018-10,14,2018,10
178,2018-11,17,2018,11
179,2018-12,17,2018,12
180,2019-01,16,2019,1
181,2019-02,14,2019,2
182,2019-03,18,2019,3
183,2019-04,13,2019,4
